p1q5_gender,p1q6_ethn,p1q3_typeclass,q8_ins,q9_insexam,q4_act1,q4_act2,q4_act3,q4_act4,q4_act5,q4_act6,q4_act7,q4_act8,q4_act9,q4_act10,q4_act11,requi1_kheo_leo_kt,requi1_kheo_leo_nc,requi1_kheo_leo_nt,requi1_kheo_leo_xh,requi1_kheo_leo_ql,requi1_kheo_leo_nv,requi2_sang_tao_kt,requi2_sang_tao_nc,requi2_sang_tao_nt,requi2_sang_tao_xh,requi2_sang_tao_ql,requi2_sang_tao_nv,requi3_dinh_huong_kt,requi3_dinh_huong_nc,requi3_dinh_huong_nt,requi3_dinh_huong_xh,requi3_dinh_huong_ql,requi3_dinh_huong_nv,requi4_nghien_cuu_kt,requi4_nghien_cuu_nc,requi4_nghien_cuu_nt,requi4_nghien_cuu_xh,requi4_nghien_cuu_ql,requi4_nghien_cuu_nv,requi5_phan_tich_kt,requi5_phan_tich_nc,requi5_phan_tich_nt,requi5_phan_tich_xh,requi5_phan_tich_ql,requi5_phan_tich_nv,requi6_viet_kt,requi6_viet_nc,requi6_viet_nt,requi6_viet_xh,requi6_viet_ql,requi6_viet_nv,requi7_tuong_tuong_kt,requi7_tuong_tuong_nc,requi7_tuong_tuong_nt,requi7_tuong_tuong_xh,requi7_tuong_tuong_ql,requi7_tuong_tuong_nv,requi8_am_nhac_kt,requi8_am_nhac_nc,requi8_am_nhac_nt,requi8_am_nhac_xh,requi8_am_nhac_ql,requi8_am_nhac_nv,requi9_bieu_dien_nghe_thuat_kt,requi9_bieu_dien_nghe_thuat_nc,requi9_bieu_dien_nghe_thuat_nt,requi9_bieu_dien_nghe_thuat_xh,requi9_bieu_dien_nghe_thuat_ql,requi9_bieu_dien_nghe_thuat_nv,requi10_noi_kt,requi10_noi_nc,requi10_noi_nt,requi10_noi_xh,requi10_noi_ql,requi10_noi_nv,requi11_nghe_kt,requi11_nghe_nc,requi11_nghe_nt,requi11_nghe_xh,requi11_nghe_ql,requi11_nghe_nv,requi12_thuyet_trinh_kt,requi12_thuyet_trinh_nc,requi12_thuyet_trinh_nt,requi12_thuyet_trinh_xh,requi12_thuyet_trinh_ql,requi12_thuyet_trinh_nv,requi13_lam_viec_voi_nguoi_khac_kt,requi13_lam_viec_voi_nguoi_khac_nc,requi13_lam_viec_voi_nguoi_khac_nt,requi13_lam_viec_voi_nguoi_khac_xh,requi13_lam_viec_voi_nguoi_khac_ql,requi13_lam_viec_voi_nguoi_khac_nv,requi14_gay_anh_huong_kt,requi14_gay_anh_huong_nc,requi14_gay_anh_huong_nt,requi14_gay_anh_huong_xh,requi14_gay_anh_huong_ql,requi14_gay_anh_huong_nv,requi15_thuyet_phuc_kt,requi15_thuyet_phuc_nc,requi15_thuyet_phuc_nt,requi15_thuyet_phuc_xh,requi15_thuyet_phuc_ql,requi15_thuyet_phuc_nv,requi16_vuot_kho_khan_nguy_hiem_kt,requi16_vuot_kho_khan_nguy_hiem_nc,requi16_vuot_kho_khan_nguy_hiem_nt,requi16_vuot_kho_khan_nguy_hiem_xh,requi16_vuot_kho_khan_nguy_hiem_ql,requi16_vuot_kho_khan_nguy_hiem_nv,requi17_lam_viec_voi_ho_so_du_lieu_kt,requi17_lam_viec_voi_ho_so_du_lieu_nc,requi17_lam_viec_voi_ho_so_du_lieu_nt,requi17_lam_viec_voi_ho_so_du_lieu_xh,requi17_lam_viec_voi_ho_so_du_lieu_ql,requi17_lam_viec_voi_ho_so_du_lieu_nv,requi18_lam_viec_ti_mi_chi_tiet_kt,requi18_lam_viec_ti_mi_chi_tiet_nc,requi18_lam_viec_ti_mi_chi_tiet_nt,requi18_lam_viec_ti_mi_chi_tiet_xh,requi18_lam_viec_ti_mi_chi_tiet_ql,requi18_lam_viec_ti_mi_chi_tiet_nv,q1_trainjob,q2_care1,q2_care2,q2_care3,q2_care4,q2_care5,q2_care6,q3_where1,q3_where2,q3_where3,q3_where4,q3_where5,q3_where6,q3_where7,q3_where8,q5_affect1,q5_affect2,q5_affect3,q5_affect4,q5_affect5,q5_affect6,q5_affect7,q5_affect8,q5_affect9,q5_affect10,q5_affect11,q5_affect12,q5_affect13,q5_affect14,q5_affect15,q5_affect16,q5_affect17,q5_affect18,q5_affect19,q5_affect20,q5_affect21,q6_likeen,q6_likere,q6_likear,q6_likeso,q6_likeman,q6_likecle,aware_lv_ky_thuat,aware_lv_nghien_cuu,aware_lv_nghe_thuat,aware_lv_xa_hoi,aware_lv_quan_ly,aware_lv_nghiep_vu,p1q2_typeschool,p1q12_fjob,p1q13_mjob,p1q14_megr9,p1q15_hsub,p1q16_lsub,p1q16_likesub,p1q16_dislikesub,q1a_namtrainjob,q1c_cer,p1q8_afloseschool,p1q9_job_current,source
1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,3,5,4,3,4,5,4,3,4,3,4,5,4,4,5.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,5,4,2,4,5,3,3,2,3,2,2,3,0,0,6,1,3,12,4,10,-1.0,-1.0,0,1,real
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,3,3,3,3,3,1,2,2,2,3,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4,1,2,1,2,2,1,2,1,3,2,3,1,2,0,2,1,9,1,11,-1.0,-1.0,0,0,real
0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,3,5,4,3,4,5,4,4,4,3,5,4,3,4,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5,4,1,5,3,4,3,2,3,2,3,3,0,0,0,1,0,7,3,12,-1.0,-1.0,0,3,real
1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,2,2,2,3,2,2,2,3,2,2,2,1,1,1,3,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5,5,5,4,4,4,3,3,3,1,3,3,0,1,3,1,2,9,2,9,1.0,2.0,0,0,real
0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,4,4,3,2,4,5,4,2,4,2,4,3,4,4,2.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,5,3,2,4,3,5,3,2,3,2,2,3,0,1,3,2,2,9,6,9,3.0,-1.0,0,3,real
0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,4,2,4,3,4,5,3,4,2,4,2,4,4,5,4.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,5,4,2,3,4,3,3,2,3,2,2,3,0,6,3,2,2,7,6,9,-1.0,-1.0,0,3,real
1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2,3,3,3,3,3,4,1,1,1,1,1,1,3,1,4,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,5.0,4,5,1,2,2,2,3,3,3,3,3,3,0,1,0,2,4,1,3,6,-2.0,-2.0,0,3,real
1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,5,3,4,3,5,2,5,4,3,4,3,4,2,4,5,4.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,5,4,2,4,4,2,3,2,1,1,2,3,0,3,1,1,0,10,3,9,1.0,-1.0,0,0,real
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,4,2,2,2,2,1,1,1,1,1,1,1,1,4,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4,3,1,2,3,2,3,3,1,1,2,3,0,6,6,2,0,12,0,9,1.0,2.0,0,0,real
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1,2,3,5,4,3,3,3,3,1,2,3,0,1,1,1,0,3,0,3,1.0,-1.0,0,0,real
0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,2,4,3,5,5,3,2,4,3,5,3,2,5,3.0,2.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,5,3,2,4,3,2,3,2,3,2,3,3,0,1,3,2,2,9,3,12,-1.0,-1.0,0,3,real
0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,2,5,2,3,3,2,2,1,1,2,2,2,1,2,1,4,4.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,3,4,3,5,5,3,3,3,3,3,3,3,0,4,4,2,2,9,2,11,-2.0,-2.0,0,3,real
1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,5,4,2,4,3,4,4,2,4,3,5,3,2,4,4,2.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,5,3,2,3,4,2,3,2,3,2,2,3,0,4,2,2,0,10,3,12,-2.0,-2.0,0,1,real
1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,3,5,3,4,3,4,2,4,5,3,5,3,4,4,3.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,5,3,2,5,4,5,3,2,3,3,2,3,0,4,4,2,0,12,3,10,1.0,-1.0,0,3,real
0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,3,4,2,4,3,5,3,4,2,4,2,4,3,5,3.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,5,3,2,5,4,2,3,2,3,2,2,3,2,0,6,2,2,9,1,10,-1.0,-1.0,0,2,real
1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,4,3,4,4,5,4,4,4,3,5,4,4,4,4,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5,4,4,4,5,4,3,2,1,3,2,3,0,6,1,1,0,2,1,10,-1.0,-1.0,0,1,real
0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,3,5,3,4,3,4,3,5,4,3,4,5,3,4,3.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,5,4,3,4,3,5,3,3,3,2,3,3,0,4,6,2,2,9,5,9,-1.0,-1.0,0,0,real
0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,4,2,4,3,5,4,3,5,3,2,4,3,5,4,2.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,5,4,3,2,4,3,3,2,3,2,2,3,0,5,2,2,5,10,6,9,-1.0,-1.0,0,0,real
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,3,2,3,3,3,3,3,3,3,3,3,0,1,0,2,2,3,12,9,1.0,3.0,0,0,real
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,4,3,4,3,3,4,1,3,3,3,2,3,0,6,6,1,0,9,0,9,6.0,2.0,0,0,real
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,4,4,4,4,4,2,2,1,2,1,1,2,2,3,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,1.0,1,2,1,4,1,4,3,3,1,3,2,3,0,1,1,1,0,1,0,9,-2.0,-2.0,0,0,real
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,2,2,3,3,3,3,1,1,2,1,1,1,1,2,2,4,5.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1,3,3,4,2,3,3,3,3,2,2,3,0,3,1,2,1,4,1,4,-2.0,-2.0,0,0,real
0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3,1,1,4,2,1,3,3,3,3,3,3,0,1,1,1,0,10,0,2,-2.0,-2.0,0,0,real
1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,4,3,5,3,4,4,3,5,4,2,3,4,3,5,3.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5,2,3,5,4,2,3,2,1,2,3,3,0,3,6,2,0,10,3,5,-1.0,-1.0,0,3,real
1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,4,3,4,4,3,4,3,5,4,3,4,5,2,4,2.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,5,3,4,2,5,4,3,3,3,1,2,3,0,3,2,2,0,10,4,10,-1.0,-1.0,0,3,real
1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,3,4,4,4,3,5,4,3,4,3,5,4,3,4,3.0,5.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5,3,1,3,5,4,1,2,3,1,3,3,0,3,0,1,0,7,3,10,-1.0,-1.0,2,1,real
1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,4,2,4,5,3,5,4,3,4,4,2,3,4,5,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,4.0,4.0,5,4,1,4,5,4,3,3,1,3,2,3,0,1,6,1,0,7,2,7,1.0,-1.0,0,1,real
